"readcode","medcode","recK","recK_ID","medcodeid.nealon","originalreadcode.nealon","snomedctconceptid","snomedctdescriptionid.nealon","recN","recN_ID","recLSHTM","recLSHTM_ID","recP","recP_ID","level","originalreadcode.ds","medcodeid.ds","recDS","recDS_ID","readterm","sctid","medcodeid.primis","originalreadcode.primis","readterm.emis","snomedctdescriptionid.primis","recPRIMIS","recPRIMIS_ID","recADD","source","medcodeid","originalreadcode_a","readcode_a","snomedctconceptid_a","snomedctdescriptionid_a","release_a","emiscodecategoryid_a","snomedctconceptid_clean","snomedctdescriptionid_clean","brand","havebrand"
NA,NA,NA,NA,"77021000033112","DRGC865","77021000033108","77021000033112","Nealon","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inactivated Influenza Vaccine",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","77021000033112",NA,NA,NA,NA,NA,NA,"77021000033108","77021000033112","","0"
NA,NA,NA,NA,"197831000033117","DRGA2843","197831000033101","197831000033117","Nealon","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Influvac Sub-Unit",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","197831000033117",NA,NA,NA,NA,NA,NA,"197831000033101","197831000033117","Viatris UK Healthcare Ltd","1"
NA,NA,NA,NA,"383731000033110","DRGA4666EMIS","383731000033106","383731000033110","Nealon","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pasteur Merieux Inactivated Influenza",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","383731000033110",NA,NA,NA,NA,NA,NA,"383731000033106","383731000033110","Pasteur Merieux","1"
NA,NA,NA,NA,"642021000033115","DRGC6207EMIS","642021000033104","642021000033115","Nealon","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inactivated Influenza (Split Virion)",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","642021000033115",NA,NA,NA,NA,NA,NA,"642021000033104","642021000033115","","0"
NA,NA,NA,NA,"644221000033116","DRGC6219BRIDL","644221000033100","644221000033116","Nealon","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inactivated Influenza Vaccine, Surface Antigen",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","644221000033116",NA,NA,NA,NA,NA,NA,"644221000033100","644221000033116","","0"
NA,NA,NA,NA,"712231000033111","DRGA5296NEMIS","712231000033107","712231000033111","Nealon","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sanofi Pasteur Inactivated Influenza Split Virion",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","712231000033111",NA,NA,NA,NA,NA,NA,"712231000033107","712231000033111","Sanofi Pasteur","1"
NA,NA,NA,NA,"912021000033113","DRGC23005NEMIS","912021000033109","912021000033113","Nealon","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inactivated Influenza Surface Antigen Virosome",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","912021000033113",NA,NA,NA,NA,NA,NA,"912021000033109","912021000033113","","0"
"",NA,NA,NA,"924501000006111","PCNQIN3","924501000006107","924501000006111","Nealon","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","924501000006111","PCNQIN3","","924501000006107","924501000006111",NA,"9","924501000006107","924501000006111","","0"
NA,NA,NA,NA,"966421000033119","DRGC38014NEMIS","966421000033103","966421000033119","Nealon","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inactivated Influenza Virus Whole Virion Vero Cell Derived",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","966421000033119",NA,NA,NA,NA,NA,NA,"966421000033103","966421000033119","","0"
NA,NA,NA,NA,"966521000033115","DRGC38112NEMIS","966521000033104","966521000033115","Nealon","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inactivated Influenza Virus Split Virion Adjuvanted",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","966521000033115",NA,NA,NA,NA,NA,NA,"966521000033104","966521000033115","","0"
NA,NA,NA,NA,"981021000033118","DRGC52408NEMIS","981021000033102","981021000033118","Nealon","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Influenza Virus Live Attenuated",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","981021000033118",NA,NA,NA,NA,NA,NA,"981021000033102","981021000033118","","0"
NA,NA,NA,NA,"1256621000033110","DRGC131919NEMIS","1256621000033100","1256621000033110","Nealon","16",NA,NA,NA,NA,"H1N1",NA,NA,NA,NA,"Influenza virus inactivated split (H1N1, H3N2-like, B/Brisbane/60/2008-like, strains)",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","1256621000033110",NA,NA,NA,NA,NA,NA,"36754911000001103","1256621000033110","","0"
NA,NA,NA,NA,"1851101000006110","EMISNQIN160","1851101000006100","1851101000006110","Nealon","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intranasal influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","1851101000006110","EMISNQIN160","","1851101000006106","1851101000006110",NA,"9","1851101000006100","1851101000006110","","0"
"",NA,NA,NA,"1852961000006110","JHCIN91","442333005","2820764011","Nealon","19",NA,NA,NA,NA,"H1N1",NA,NA,NA,NA,"Influenza A virus subtype H1N1 vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","1852961000006110",NA,NA,NA,NA,NA,NA,"442333005","2820764011","","0"
NA,NA,NA,NA,"1854681000006110","EMISNQIN166","1854681000006100","1854681000006110","Nealon","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Influenza vaccination can be given by healthcare assistant",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","1854681000006110",NA,NA,NA,NA,NA,NA,"1854681000006100","1854681000006110","","0"
NA,NA,NA,NA,"1857041000006110","EMISNQGS15","1857041000006100","1857041000006110","Nealon","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSK Flu D-QIV vaccination given",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","1857041000006110",NA,NA,NA,NA,NA,NA,"1857041000006100","1857041000006110","GlaxoSmithKline UK Ltd","1"
NA,NA,NA,NA,"2022931000033110","DRGA82032NEMIS","2022931000033100","2022931000033110","Nealon","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Influvac Desu",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","2022931000033110",NA,NA,NA,NA,NA,NA,"22628411000001107","2022931000033110","Viatris UK Healthcare Ltd","1"
NA,NA,NA,NA,"2137331000033110","DRGA95150NEMIS","2137331000033100","2137331000033110","Nealon","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pfizer Inactivated Influenza Split Virion",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","2137331000033110",NA,NA,NA,NA,NA,NA,"2137331000033100","2137331000033110","Pfizer","1"
NA,NA,NA,NA,"2342031000033110","DRGA124209NEMIS","2342031000033100","2342031000033110","Nealon","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sanofi Pasteur Quadrivalent (Split Virion, Inactivated)",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","2342031000033110",NA,NA,NA,NA,NA,NA,"2342031000033100","2342031000033110","Sanofi Pasteur","1"
NA,NA,NA,NA,"2394731000033110","DRGA127170NEMIS","2394731000033100","2394731000033110","Nealon","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Influvac Sub-Unit Tetra",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","2394731000033110",NA,NA,NA,NA,NA,NA,"2394731000033100","2394731000033110","Viatris UK Healthcare Ltd","1"
NA,NA,NA,NA,"2394831000033110","DRGA127172NEMIS","2394831000033100","2394831000033110","Nealon","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Influenza Vaccine Tetra Myl",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","2394831000033110",NA,NA,NA,NA,NA,NA,"2394831000033100","2394831000033110","Viatris UK Healthcare Ltd","1"
NA,NA,NA,NA,"2447131000033110","DRGA131917NEMIS","2447131000033100","2447131000033110","Nealon","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sanofi Pasteur Trivalent (Split Virion, Inactivated)",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","2447131000033110",NA,NA,NA,NA,NA,NA,"2447131000033100","2447131000033110","Sanofi Pasteur","1"
NA,NA,NA,NA,"8439011000006110","^ESCTSE843901","1066171000000100","2677731000000110","Nealon","46",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Seasonal influenza vaccination given by midwife",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","8439011000006110",NA,NA,NA,NA,NA,NA,"1066171000000100","2677731000000110","","0"
NA,NA,NA,NA,"8439021000006110","^ESCTFI843902","1066181000000100","2677751000000110","Nealon","47",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"First inactivated seasonal influenza vaccination given by midwife",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","8439021000006110",NA,NA,NA,NA,NA,NA,"1066181000000100","2677751000000110","","0"
NA,NA,NA,NA,"8439031000006110","^ESCTSE843903","1066191000000100","2677771000000110","Nealon","48",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Second inactivated seasonal influenza vaccination given by midwife",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","8439031000006110",NA,NA,NA,NA,NA,NA,"1066191000000100","2677771000000110","","0"
NA,NA,NA,NA,"11934921000006100","EMISNQAD138","11934921000006100","11934921000006100","Nealon","49",NA,NA,NA,NA,"Seasonal",NA,NA,NA,NA,"Administration of first quadrivalent (QIV) inactivated seasonal influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon","11934921000006100",NA,NA,NA,NA,NA,NA,"11934921000006100","11934921000006100","","0"
